"","Value","Position","Age.x","MP","Starts_Playing_Time","Min_Playing_Time","Gls","Ast","G+A","PK","xG_Expected","xAG_Expected","npxG+xAG_Expected","Squad","Pos","Age.y"
"196",6e+07,"FW",24,33,27,2307,16,4,20,2,16.6,2.3,15.6,NA,NA,NA
"197",5.5e+07,"FW",27,NA,22,1894,11,7,18,0,9.1,5.2,14.3,NA,NA,NA
"198",5e+07,"MF",26,NA,29,2627,12,5,17,2,6.5,5.9,10.9,NA,NA,NA
"199",5e+07,"MF",25,NA,32,2869,6,1,7,0,3.5,1.4,4.9,NA,NA,NA
"200",5e+07,"DF",27,NA,31,2791,5,4,9,1,4.9,4.3,7.7,NA,NA,NA
"201",5e+07,"MF",26,NA,32,2602,12,8,20,0,8,4.8,12.8,NA,NA,NA
"202",4.5e+07,"DF",20,NA,31,2544,1,3,4,0,1.4,1.1,2.5,NA,NA,NA
"203",4.5e+07,"MF",19,27,9,952,2,0,2,0,1.6,1.1,2.7,NA,NA,NA
"204",4.5e+07,"DF",25,NA,29,2527,3,0,3,0,1.6,0.1,1.7,NA,NA,NA
"205",4.5e+07,"DF",22,NA,26,2349,2,5,7,0,1.4,1.2,2.6,NA,NA,NA
"206",4.2e+07,"FW",23,NA,32,2759,11,4,15,2,9,5.2,12.6,NA,NA,NA
"207",4e+07,"MF",30,32,32,2556,13,3,16,10,10.1,4.7,7,NA,NA,NA
"208",4e+07,"DF",24,34,28,2372,2,3,5,0,2.2,3.9,6,NA,NA,NA
"209",4e+07,"DF",28,23,21,1672,0,2,2,0,0.7,1.4,2.1,NA,NA,NA
"210",3.8e+07,"MF",23,NA,25,2026,10,8,18,1,7.1,6.1,12.4,NA,NA,NA
"211",3.5e+07,"FW",25,29,26,2216,7,2,9,1,5.8,0.7,5.8,NA,NA,NA
"212",3.5e+07,"MF",26,29,21,1913,12,2,14,1,10.4,1.6,9.6,NA,NA,NA
"213",3.5e+07,"GK",29,NA,29,2609,0,1,1,0,0,0.3,0.3,NA,NA,NA
"214",3.2e+07,"MF",25,32,6,955,6,3,9,0,7.1,1.9,9,NA,NA,NA
"215",3e+07,"DF",23,16,9,904,2,0,2,0,0.9,0.5,1.4,NA,NA,NA
"216",3e+07,"FW",25,NA,17,1453,12,6,18,0,6.5,3.9,10.5,NA,NA,NA
"217",3e+07,"MF",25,NA,9,937,0,1,1,0,0.2,0.1,0.3,NA,NA,NA
"218",3e+07,"MF",25,10,9,864,0,0,0,0,0.4,0,0.4,NA,NA,NA
"219",3e+07,"FW",24,19,8,654,0,0,0,0,2.1,0.7,2.8,NA,NA,NA
"220",2.8e+07,"MF",29,38,38,3282,0,1,1,0,0.6,1.3,1.9,NA,NA,NA
"221",2.8e+07,"MF",26,36,34,3008,1,4,5,0,1.3,1.4,2.7,NA,NA,NA
"222",2.8e+07,"DF",24,21,21,1809,0,0,0,0,0.5,0.5,1,NA,NA,NA
"223",2.8e+07,"MF",23,NA,28,2395,1,2,3,0,1.3,2.3,3.6,NA,NA,NA
"224",2.6e+07,"DF",24,NA,4,374,0,0,0,0,0.1,0.1,0.1,NA,NA,NA
"225",2.5e+07,"DF",22,19,19,1710,2,1,3,0,1,0.8,1.9,NA,NA,NA
"226",2.5e+07,"DF",27,34,27,2510,0,0,0,0,0.4,0.7,1.1,NA,NA,NA
"227",2.5e+07,"MF",29,31,30,2651,5,3,8,0,3.5,4.1,7.4,NA,NA,NA
"228",2.5e+07,"DF",26,32,30,2637,4,0,4,0,5.5,1.5,7,NA,NA,NA
"229",2.5e+07,"MF",22,23,16,1318,0,2,2,0,0.6,0.5,1.1,NA,NA,NA
"230",2.5e+07,"FW",24,NA,20,1771,1,1,2,0,4.9,1.8,6.6,NA,NA,NA
"231",2.5e+07,"FW",31,NA,30,2641,13,3,16,0,9.8,2.4,11.4,NA,NA,NA
