"","Team.x","Player","Value","Position.x","MP","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls_Per_Minutes","Age.x.x","Apps.x","Season.x","Comp.x","Nation.x","PK","Gls","Ast","G+A","xG_Expected.x","xAG_Expected","Sh_Standard","SoT_percent_Standard"
"128","Eintracht Frankfurt ","Willian Pacho",4e+07,"DF",33,33,2970,33,0,23,NA,"2023-2024","Bundesliga","ECU",0,0,3,3,1.2,1.1,10,20
"129","Bayer Leverkusen ","Piero Hincapié",4e+07,"DF",26,16,1484,16.5,0.06,22,NA,"2023-2024","Bundesliga","ECU",0,1,2,3,1.9,0.5,18,33.3
"130","Eintracht Frankfurt ","Hugo Ekitike",4e+07,"FW",14,7,716,8,0.5,22,NA,"2023-2024","Bundesliga","FRA",0,4,2,6,2.4,1.7,30,30
"131","Bayern München ","Kingsley Coman",3.5e+07,"FW",17,15,1113,12.4,0.24,28,NA,"2023-2024","Bundesliga","FRA",0,3,3,6,2.8,3.8,34,23.5
"132","Borussia Dortmund ","Julian Brandt",3.5e+07,"MF",32,26,2223,24.7,0.28,28,NA,"2023-2024","Bundesliga","GER",0,7,11,18,4.4,9.5,33,48.5
"133","Borussia Dortmund ","Karim Adeyemi",3.5e+07,"FW",21,10,913,10.1,0.3,22,NA,"2023-2024","Bundesliga","GER",0,3,1,4,3.5,2,23,43.5
"134","Eintracht Frankfurt ","Hugo Larsson",3.5e+07,"MF",29,21,1886,21,0.1,20,NA,"2023-2024","Bundesliga","SWE",0,2,1,3,1.3,1.4,10,40
"135","Bayern München ","Serge Gnabry",3.5e+07,"FW",10,5,432,4.8,0.62,29,NA,"2023-2024","Bundesliga","GER",0,3,1,4,2.4,1.2,17,35.3
"136","Bayern München ","Noussair Mazraoui",3.2e+07,"DF",19,15,1197,13.3,0,26,NA,"2023-2024","Bundesliga","MAR",0,0,3,3,0.9,1.8,12,25
"137","Stuttgart ","Angelo Stiller",3.2e+07,"MF",NA,30,2694,29.9,0.03,23,NA,"2023-2024","Bundesliga","GER",0,1,5,6,1.6,5.1,16,18.8
"138","Stuttgart ","Angelo Stiller",3.2e+07,"MF",NA,30,2694,29.9,0.03,23,NA,"2023-2024","Bundesliga","GER",0,1,5,6,1.6,5.1,2,50
"139","Stuttgart ","Angelo Stiller",3.2e+07,"MF",1,1,84,0.9,0,23,NA,"2023-2024","Bundesliga","GER",0,0,0,0,0.1,0,16,18.8
"140","Stuttgart ","Angelo Stiller",3.2e+07,"MF",1,1,84,0.9,0,23,NA,"2023-2024","Bundesliga","GER",0,0,0,0,0.1,0,2,50
"141","Borussia Dortmund ","Ian Maatsen",3.2e+07,"DF",16,15,1264,14,0.14,22,NA,"2023-2024","Bundesliga","NED",0,2,2,4,0.9,1.4,11,36.4
"142","Bayern München ","Mathys Tel",3e+07,"FW",30,6,1050,11.7,0.6,19,NA,"2023-2024","Bundesliga","FRA",0,7,5,12,3.7,2.3,43,41.9
"143","Bayer Leverkusen ","Jonathan Tah",3e+07,"DF",31,30,2631,29.2,0.14,28,NA,"2023-2024","Bundesliga","GER",0,4,1,5,2.1,0.3,26,38.5
"144","Hoffenheim ","Maximilian Beier",3e+07,"FW",33,29,2420,26.9,0.6,22,NA,"2023-2024","Bundesliga","GER",0,16,1,17,11.4,2.4,82,47.6
"145","Stuttgart ","Hiroki Ito",3e+07,"DF",NA,25,2228,24.8,0,25,NA,"2023-2024","Bundesliga","JPN",0,0,2,2,0.9,2,18,22.2
"146","Eintracht Frankfurt ","Randal Kolo Muani",3e+07,"FW",2,2,153,1.7,0.59,25,NA,"2023-2024","Bundesliga","FRA",0,1,0,1,1.3,0,5,20
"147","Borussia Dortmund ","Jadon Sancho",3e+07,"FW",14,11,947,10.5,0.19,24,NA,"2023-2024","Bundesliga","ENG",0,2,2,4,0.7,3,9,44.4
"148","RB Leipzig ","Mohamed Simakan",2.8e+07,"DF",32,23,2138,23.8,0.08,24,NA,"2023-2024","Bundesliga","FRA",0,2,3,5,3.9,3.3,30,36.7
"149","RB Leipzig ","Xaver Schlager",2.8e+07,"MF",29,29,2477,27.5,0,27,NA,"2023-2024","Bundesliga","AUT",0,0,5,5,1.1,2.6,21,14.3
"150","Augsburg ","Ermedin Demirović",2.8e+07,"FW",33,33,2873,31.9,0.47,26,NA,"2023-2024","Bundesliga","BIH",3,15,9,24,13.5,3.9,77,41.6
